City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
79,Saint-Philippe,75,RE,04/11/2020,61,-21.36,55.77,79,14.99
80,Avarua,100,CK,04/11/2020,94,-21.21,-159.78,82.4,5.82
81,Vaini,20,TO,04/11/2020,69,-21.2,-175.2,78.8,4.7
82,Mackay,50,AU,04/11/2020,66,-21.15,149.2,87.01,12.75
83,Voh,68,NC,04/11/2020,61,-20.97,164.7,78.3,4.25
84,Karratha,1,AU,04/11/2020,29,-20.74,116.85,92.5,8.9
85,Mount Isa,32,AU,04/11/2020,13,-20.73,139.5,89.6,11.41
86,Okakarara,29,NA,04/11/2020,61,-20.58,17.43,63.21,8.7
87,Souillac,75,MU,04/11/2020,74,-20.52,57.52,81,18.34
88,Uyuni,0,BO,04/11/2020,14,-20.46,-66.83,42.37,7.56
89,Mahebourg,40,MU,04/11/2020,78,-20.41,57.7,81,17.22
90,Bambous Virieux,75,MU,04/11/2020,74,-20.34,57.76,81,18.34
91,Vila Velha,75,BR,04/11/2020,94,-20.33,-40.29,71.6,3.36
92,Poum,91,NC,04/11/2020,65,-20.23,164.02,78.67,6.4
93,Bowen,40,AU,04/11/2020,49,-20.02,148.23,89.6,6.93
94,Grand Gaube,40,MU,04/11/2020,78,-20.01,57.66,78.8,17.22
95,Isangel,48,VU,04/11/2020,61,-19.55,169.27,78.19,9.26
96,Alofi,37,NU,04/11/2020,69,-19.06,-169.92,80.6,4.7
97,Catalao,8,BR,04/11/2020,73,-18.17,-47.95,60.94,2.06
98,Opuwo,15,NA,04/11/2020,54,-18.06,13.84,68.23,7.78
99,Santa Helena De Goias,14,BR,04/11/2020,71,-17.81,-50.6,62.92,2.53
100,Ongwediva,73,NA,04/11/2020,94,-17.78,15.77,68,2.24
101,Tautira,100,PF,04/11/2020,74,-17.73,-149.15,82.4,3.36
102,Caravelas,37,BR,04/11/2020,87,-17.71,-39.25,76.69,7.92
103,Ilo,85,PE,04/11/2020,80,-17.64,-71.34,71.4,8.81
104,Varzea Da Palma,5,BR,04/11/2020,78,-17.6,-44.73,68.56,3.96
105,Mineiros,31,BR,04/11/2020,69,-17.57,-52.55,63.12,3.83
106,Soanierana Ivongo,75,MG,04/11/2020,78,-16.92,49.58,82.4,11.41
107,Tevaitoa,98,PF,04/11/2020,70,-16.78,-151.5,84.27,7.31
108,Camana,94,PE,04/11/2020,78,-16.62,-72.71,71.85,5.7
109,Faanui,96,PF,04/11/2020,71,-16.48,-151.75,83.48,8.16
110,Barao De Melgaco,20,BR,04/11/2020,78,-16.19,-55.97,77,3.36
111,Jamestown,32,SH,04/11/2020,74,-15.94,-5.72,70.65,16.35
112,Kununurra,75,AU,04/11/2020,78,-15.77,128.73,77,4.7
113,Guanay,94,BO,04/11/2020,65,-15.5,-67.88,65.44,0.36
114,Brumado,99,BR,04/11/2020,82,-14.2,-41.67,71.8,3.51
115,Macusani,68,PE,04/11/2020,21,-14.08,-70.43,36.21,3.42
116,Lufilufi,98,WS,04/11/2020,94,-13.87,-171.6,82,8.01
117,Alyangula,75,AU,04/11/2020,100,-13.85,136.42,77,4.7
118,Caconda,62,AO,04/11/2020,61,-13.73,15.07,60.04,3.91
119,Pisco,90,PE,04/11/2020,88,-13.7,-76.22,72,4.7
120,Ambilobe,10,MG,04/11/2020,64,-13.2,49.05,83.35,6.55
121,Tambopata,9,PE,04/11/2020,72,-12.73,-69.18,66.7,1.77
122,Riachao Das Neves,97,BR,04/11/2020,81,-11.75,-44.91,70.9,0.49
123,Mitsamiouli,15,KM,04/11/2020,73,-11.38,43.28,83.89,9.69
124,Mazamari,95,PE,04/11/2020,63,-11.33,-74.53,72.07,0.96
125,Barranca,37,PE,04/11/2020,76,-10.75,-77.77,73.53,7.47
126,Atuona,81,PF,04/11/2020,76,-9.8,-139.03,82.22,11.14
127,Waingapu,68,ID,04/11/2020,69,-9.66,120.26,83.88,8.08
128,Inhapi,60,BR,04/11/2020,82,-9.22,-37.75,70.86,3.13
129,Aripuana,85,BR,04/11/2020,94,-9.17,-60.63,72.86,1.23
130,Atambua,17,ID,04/11/2020,71,-9.11,124.89,79.52,1.43
131,Luanda,40,AO,04/11/2020,94,-8.84,13.23,77,4.7
132,Mbala,44,ZM,04/11/2020,57,-8.84,31.37,61.16,8.88
133,Tamandare,13,BR,04/11/2020,80,-8.76,-35.1,80.64,7.92
134,Caxito,75,AO,04/11/2020,88,-8.58,13.66,78.8,5.82
135,Merauke,70,ID,04/11/2020,74,-8.47,140.33,84.78,9.51
136,Georgetown,19,SH,04/11/2020,82,-7.93,-14.42,80.49,15.55
137,Chicama,93,PE,04/11/2020,73,-7.84,-79.15,74.12,4.81
138,Pitimbu,6,BR,04/11/2020,100,-7.47,-34.81,77,4.7
139,Kawalu,5,ID,04/11/2020,45,-7.38,108.21,89.67,5.77
140,Kalianget,39,ID,04/11/2020,72,-7.05,113.93,85.06,0.56
141,Cabedelo,12,BR,04/11/2020,94,-6.98,-34.83,77,6.13
142,Labuhan,35,ID,04/11/2020,64,-6.88,112.21,88.39,2.35
143,Sao Felix Do Xingu,75,BR,04/11/2020,91,-6.64,-51.99,73.31,0.58
144,Sao Geraldo Do Araguaia,58,BR,04/11/2020,88,-6.4,-48.55,73.83,3.15
145,Indramayu,0,ID,04/11/2020,61,-6.33,108.32,87.87,4.09
146,Kieta,85,PG,04/11/2020,74,-6.22,155.63,84.09,4.27
147,Soyo,75,AO,04/11/2020,94,-6.13,12.37,78.8,8.52
148,Kiunga,87,PG,04/11/2020,70,-6.12,141.29,88.3,2.46
149,Tual,4,ID,04/11/2020,72,-5.67,132.75,84.02,8.01
150,Sitio Novo Do Tocantins,100,BR,04/11/2020,94,-5.52,-47.46,77,2.57
151,Pringsewu,4,ID,04/11/2020,50,-5.36,104.97,92.37,0.6
152,Madang,85,PG,04/11/2020,73,-5.22,145.8,84.42,5.06
153,Quixeramobim,83,BR,04/11/2020,89,-5.2,-39.29,72.66,0.94
154,Touros,40,BR,04/11/2020,94,-5.2,-35.46,75.2,5.82
155,Victoria,20,SC,04/11/2020,70,-4.62,55.45,86,3.15
156,Bulungu,82,CD,04/11/2020,76,-4.55,18.6,73.24,1.79
157,Kokopo,86,PG,04/11/2020,76,-4.35,152.26,82.56,6.02
158,Mangai,69,CD,04/11/2020,83,-4.05,19.53,73.13,1.72
159,Aquiraz,40,BR,04/11/2020,88,-3.9,-38.39,78.8,2.24
160,Bengkulu,99,ID,04/11/2020,54,-3.8,102.27,89.01,2.8
161,Iquitos,75,PE,04/11/2020,94,-3.75,-73.25,77,2.04
162,Ambon,13,ID,04/11/2020,68,-3.7,128.18,85.05,3.31
163,Kampene,100,CD,04/11/2020,82,-3.6,26.67,71.24,1.25
164,Nabire,57,ID,04/11/2020,70,-3.37,135.48,86.63,4.9
165,Tefe,85,BR,04/11/2020,88,-3.35,-64.71,73.62,0.27
166,Malindi,40,KE,04/11/2020,88,-3.22,40.12,80.6,16.11
167,Tutoia,98,BR,04/11/2020,84,-2.76,-42.27,79.14,4.43
168,Pangkalanbuun,84,ID,04/11/2020,76,-2.68,111.62,85.53,5.17
169,Vanimo,98,PG,04/11/2020,76,-2.67,141.3,83.59,6.6
170,Kavieng,82,PG,04/11/2020,74,-2.57,150.8,84.4,8.39
171,Lorengau,66,PG,04/11/2020,72,-2.02,147.27,84.2,4.43
172,Cururupu,100,BR,04/11/2020,91,-1.83,-44.87,77.47,2.98
173,Padang,66,ID,04/11/2020,67,-0.95,100.35,87.03,3.02
174,Solok,66,ID,04/11/2020,65,-0.79,100.66,82.71,1.77
175,Puerto Ayora,93,EC,04/11/2020,88,-0.74,-90.35,80.01,3
176,Port-Gentil,100,GA,04/11/2020,81,-0.72,8.78,81.59,9.98
177,Hithadhoo,54,MV,04/11/2020,61,-0.6,73.08,85.05,6.98
178,Owando,100,CG,04/11/2020,85,-0.48,15.9,73.87,2.33
179,Puerto Leguizamo,91,CO,04/11/2020,92,-0.19,-74.78,70.86,0.87
180,Kisangani,87,CD,04/11/2020,83,0.52,25.2,74.82,1.21
181,Muisne,97,EC,04/11/2020,86,0.6,-80.03,76.75,6.08
182,Masindi,24,UG,04/11/2020,59,1.67,31.71,71.73,4.94
183,Mogadishu,75,SO,04/11/2020,62,2.04,45.34,87.8,6.93
184,Bandar,70,ID,04/11/2020,43,2.05,99.75,93.54,3.42
185,Kudahuvadhoo,28,MV,04/11/2020,68,2.67,72.89,84.27,5.57
186,Butaritari,65,KI,04/11/2020,74,3.07,172.79,84.52,9.4
187,Inirida,100,CO,04/11/2020,94,3.87,-67.92,71.91,1.52
188,Saint-Georges,100,GF,04/11/2020,95,3.9,-51.8,74.16,1.88
189,Limbe,75,CM,04/11/2020,94,4.02,9.21,77,6.93
190,Meulaboh,68,ID,04/11/2020,59,4.14,96.13,88.18,4.41
191,Miri,75,MY,04/11/2020,79,4.41,114.01,87.8,9.17
192,Axim,81,GH,04/11/2020,84,4.87,-2.24,79.79,5.21
193,Yenagoa,60,NG,04/11/2020,89,4.92,6.26,77.16,5.99
194,Cayenne,97,GF,04/11/2020,100,4.93,-52.33,78.8,8.77
195,Zemio,87,CF,04/11/2020,68,5.03,25.14,75.58,3.42
196,Marquetalia,100,CO,04/11/2020,64,5.3,-75.06,61.75,3.42
197,Hobyo,62,SO,04/11/2020,59,5.35,48.53,85.93,11.03
198,Winneba,58,GH,04/11/2020,88,5.35,-0.62,78.8,4.7
199,Sinnamary,97,GF,04/11/2020,81,5.38,-52.95,78.8,13.24
200,Warri,43,NG,04/11/2020,89,5.52,5.75,76.53,8.9
201,Anloga,20,GH,04/11/2020,88,5.79,0.9,80.6,2.24
202,Sabang,22,ID,04/11/2020,72,5.89,95.32,85.39,12.39
203,Ikom,100,NG,04/11/2020,92,5.97,8.71,76.17,1.7
204,Hambantota,5,LK,04/11/2020,63,6.12,81.12,87.01,11.99
